,Positive Score,Negative Score,Player,Pos,Squad,Season,Comp,PlayerScore
219,-1.256237121867046,0.9380007782741195,Christoph Baumgartner,"MF,FW",RB Leipzig,2023,Bundesliga,-2.1942379001411654
220,-34.95696306534199,-6.443696790575295,Bebé,"MF,FW",Rayo Vallecano,2023,La Liga,-28.513266274766693
221,0.7999240887836679,3.1687087240659495,Ihlas Bebou,"FW,DF",Hoffenheim,2023,Bundesliga,-2.3687846352822817
222,-43.46688124950644,-6.236656243563861,Mohamed Bechikh,"FW,MF",Strasbourg,2023,Ligue 1,-37.230225005942586
223,-11.892554032213752,-1.7419774327165878,Adrian Beck,"MF,FW",Heidenheim,2023,Bundesliga,-10.150576599497164
224,-48.55576945549132,-6.315183613120992,Owen Beck,DF,Liverpool,2023,Premier League,-42.24058584237033
225,-38.80552031385159,-5.004544944439895,Sheraldo Becker,"FW,MF",Real Sociedad,2023,La Liga,-33.800975369411695
226,-20.058742777017166,-4.896028062596269,Sheraldo Becker,"FW,MF",Union Berlin,2023,Bundesliga,-15.162714714420897
227,-42.02544647429209,-9.975379520529577,Chris Bedia,"FW,MF",Union Berlin,2023,Bundesliga,-32.05006695376251
228,-35.87804360017593,-5.704707184305843,Donny van de Beek,"MF,FW",Eint Frankfurt,2023,Bundesliga,-30.173336415870086
229,-33.95065303507933,-7.106688640887709,Yanis Begraoui,"FW,MF",Toulouse,2023,Ligue 1,-26.843964394191616
230,-32.79207522875488,-4.116833545475446,Kevin Behrens,FW,Wolfsburg,2023,Bundesliga,-28.675241683279438
231,-13.161488137888433,2.0957813743467253,Kevin Behrens,FW,Union Berlin,2023,Bundesliga,-15.257269512235158
232,18.708947421053175,5.542261984862997,Maximilian Beier,"FW,MF",Hoffenheim,2023,Bundesliga,13.166685436190178
233,-34.359271008253735,-8.048336137443407,Jérémie Bela,"MF,DF",Clermont Foot,2023,Ligue 1,-26.31093487081033
234,-44.71070322093465,-10.517971963378862,Reda Belahyane,MF,Hellas Verona,2023,Serie A,-34.192731257555785
235,-37.73802249154208,-10.517971963378862,Reda Belahyane,MF,Nice,2023,Ligue 1,-27.22005052816322
236,11.898007983477257,-1.038673466451323,Amari'i Bell,DF,Luton Town,2023,Premier League,12.93668144992858
237,-20.6246018057324,-7.051577234027852,Stefan Bell,DF,Mainz 05,2023,Bundesliga,-13.573024571704547
238,44.95639049274473,3.4427754647951723,Raoul Bellanova,"DF,MF",Torino,2023,Serie A,41.513615027949555
239,-11.999685355324841,-0.16069037777646103,Jean-Ricner Bellegarde,"MF,FW",Wolves,2023,Premier League,-11.83899497754838
